subject ID,4,
Date,4/7/22,
Computer,1,
Experiment,RIME_VVIQ,
,,
num,question,response
1,Think of a relative or friend whom you frequently see (but who is not with you at present) and consider carefully the exact contour of face head shoulders and body,4
2,Think of a relative or friend whom you frequently see (but who is not with you at present) and consider carefully the characteristic poses of head attitudes of body etc,5
3,Think of a relative or friend whom you frequently see (but who is not with you at present) and consider carefully the precise carriage length of step etc in walking,5
4,Think of a relative or friend whom you frequently see (but who is not with you at present) and consider carefully the different colors worn in some familiar clothes,5
5,Visualize a rising sun. Consider carefully the sun rising above the horizon into a hazy sky,5
6,Now the sky clears and surrounds the sun with blueness,5
7,Now clouds appear. A storm blows up with flashes of lightning,4
8,Now a rainbow appears,5
9,Think of the front of a shop which you often go to. Consider the overall appearance of the shop from the opposite side of the road,5
10,Think of the fron of a shop which you often go to. Consider the window display including colors shpaes and details of individual items for sale,3
11,Think of the fron of a shop which you often go to. Imagine you are near the entrance. Consider the color shape and details of the door,1
12,You enter the shop and go to the counter. The counter assistant serves you. Money changes hands,5
13,Finally think of a country scene which involves trees mountains and a lake. Consider the contours of the landsacpe,3
14,Finally think of a country scene which involves trees mountains and a lake. Consider the color and shape of the trees,5
15,Finally think of a country scene which involves trees mountains and a lake. Consider the color and shape of the lake,5
16,A strong wind blows on the trees and on the lake causing waves in the water,5
